1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	301
4	R	301
4	W	302
0	R	302
4	J	313
4	R	313
4	W	313
0	R	313
4	J	338
4	R	338
6	N	340
6	J	340
4	W	341
6	R	341
6	E	346
4	J	346
4	R	346
7	N	347
7	J	347
4	W	348
7	R	348
4	J	350
7	E	350
4	R	350
4	W	351
0	R	351
4	J	988
4	R	988
4	W	988
0	R	988
4	J	997
4	R	997
4	W	997
0	R	997
4	J	1020
4	R	1020
4	W	1020
0	R	1020
4	J	1021
4	R	1021
4	W	1021
0	R	1021
4	J	1040
4	R	1040
4	W	1041
0	R	1041
4	J	1135
4	R	1135
4	W	1136
0	R	1136
4	J	1144
4	R	1144
4	W	1144
0	R	1144
4	J	1252
4	R	1252
4	W	1252
0	R	1252
4	J	1260
4	R	1260
4	W	1260
0	R	1260
4	J	1271
4	R	1272
4	W	1272
0	R	1272
4	J	1293
4	R	1293
4	W	1293
0	R	1293
4	J	1388
4	R	1388
4	W	1388
0	R	1388
4	J	1398
4	R	1398
4	W	1398
0	R	1398
4	J	1426
4	R	1427
4	W	1427
0	R	1427
4	J	1434
4	R	1434
4	W	1434
0	R	1434
4	J	1446
4	R	1446
4	W	1446
0	R	1446
4	J	1450
4	R	1450
4	W	1450
0	R	1450
4	J	1455
4	R	1455
4	W	1456
0	R	1456
4	J	1466
4	R	1466
4	W	1466
0	R	1466
4	J	1576
4	R	1576
4	W	1576
0	R	1576
4	J	1582
4	R	1582
4	W	1582
0	R	1582
4	J	1632
4	R	1632
4	W	1632
0	R	1632
4	J	1716
4	R	1716
4	W	1716
0	R	1716
4	J	1727
4	R	1727
4	W	1727
0	R	1727
4	J	1797
4	R	1797
4	W	1797
0	R	1797
4	J	1819
4	R	1819
4	W	1819
0	R	1819
4	J	1854
4	R	1854
4	W	1854
0	R	1854
4	J	1890
4	R	1890
4	W	1890
0	R	1890
4	J	1900
4	R	1900
4	W	1901
0	R	1901
4	J	1907
4	R	1907
4	W	1907
0	R	1907
4	J	2035
4	R	2035
8	N	2037
8	J	2037
4	W	2038
8	R	2038
9	N	2042
9	J	2043
8	W	2043
9	R	2043
9	E	2094
8	J	2094
8	R	2094
10	N	2095
10	J	2095
8	W	2096
10	R	2096
10	E	2194
8	J	2194
8	R	2194
11	N	2195
11	J	2195
8	W	2196
11	R	2196
11	E	2221
8	J	2221
8	R	2221
12	N	2223
12	J	2224
8	W	2224
12	R	2224
12	E	2303
8	J	2303
8	R	2303
8	E	2305
4	J	2305
4	R	2305
13	N	2306
13	J	2306
4	W	2307
13	R	2307
4	J	2309
13	E	2309
4	R	2309
4	W	2310
0	R	2310
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3494
4	R	3494
4	W	3494
0	R	3494
4	J	3505
4	R	3505
4	W	3505
0	R	3505
4	J	3567
4	R	3567
4	W	3567
0	R	3567
4	J	3594
4	R	3594
4	W	3594
0	R	3594
4	J	3636
4	R	3636
4	W	3636
0	R	3636
4	J	3665
4	R	3665
4	W	3666
0	R	3666
4	J	3668
4	R	3668
14	N	3669
14	J	3669
4	W	3670
14	R	3670
14	E	3674
4	J	3674
4	R	3674
15	N	3675
15	J	3675
4	W	3675
15	R	3676
4	J	3678
15	E	3678
4	R	3678
4	W	3679
0	R	3679
4	J	4074
4	R	4074
4	W	4074
0	R	4074
4	J	4076
4	R	4076
4	W	4077
0	R	4077
4	J	4094
4	R	4094
4	W	4094
0	R	4094
4	J	4124
4	R	4124
